,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,CR,BD,AD,MT,PD,AT,SR,SD,ST,CT,MD,MR,MDX,SDX,BDX,ATP,MDB,CRO,MTX,SRX,SRX,ARO,ORM,Los Alamitos - USA,Will Rogers Downs
1,Meetings,Albany,Albion Park,Angle Park,Bendigo,Cannington,Globe Derby Park,Grafton,Maitland,Menangle,Pinjarra,Shepparton,Wodonga,Ballarat,Bathurst,Bundaberg,Hagmyren - SWE,Healesville,Los Alamitos - USA,Melton,Narromine,Narromine,Remington Park - USA,Tokyo City Keiba - JAP,Resulted,02:15
2,R1,4-8-10-7,4-1-2-8,6-8-3-5,2-5-6-7,8-5-6-3,6-5-1-4,6-5-3-4,1-4-5-2,17:10,1-5-3-2,6-4-3-2,2-7-9-8,6-8-2-7,1-3-4-7,Abnd,18:20,2-6-8-4,2-3-4,4-5-1-2,6-8-2-10,6-8-2-10,10-4-9,3-2-9-4,Resulted,02:45
3,R2,2-8-6-4,17:08,2m 59s,1-6-7-4,3-2-1-7,3-2-10-8,13-4-8-11,4-7-6-2,17:40,3-1-6-4,8m,5-2-8-3,1-3-2-10,5-2-8-1,5-3-6-4,18:42,1-4-5-2,2-6-1,7-6-2-3,7-12-5-11,7-12-5-11,9-3-7,6-11-14-8,,03:15
4,R3,3-2-6-7,17:29,17:15,Closed,7-1-5-6,6-5-2-1,9-10-2-4,5-7-1-4,18:10,7-1-6-4,17:21,1-2-6-10,8-6-7-5,4-1-8-5,4-2-6-7,19:04,4-3-6-7,1-2-4,6-10-7-1,3-17-13-18,3-17-13-18,1-6-8,5-1-6-3,,03:45
5,R4,9-1-11-8,17:45,17:32,17:24,2-6-1-8,6-4-8-1,1-3-4-11,5m,18:40,2-3-5-7,17:38,4-6-9-7,6-8-3-5,8-5-4-1,1-7-6-8,19:26,8-6-1-7,2-4-1,10-7-4-9,7-9-10-1,7-9-10-1,10-2-9,1-11-9-8,,04:15
6,R5,4-10-1-3,18:03,17:49,17:54,2-4-1-6,1-8-6-3,13-5-10-11,17:18,19:10,2-5-1-3,17:59,3-7-5-12,4-6-2-7,5-1-4-6,1-2-4-8,19:47,7-4-1-5,1-5-4,3-9-7-1,5-2-13-1,5-2-13-1,7-8-9,8-1-13-11,,04:45
7,R6,5-4-9-8,18:22,18:07,18:25,4-2-5-8,4-2-1-7,7-8-6-5,17:35,19:35,8-6-2-1,18:19,2-5-7-8,"2,8-3-4",4-2-8-1,2-3-1-8,20:07,1-3-8-6,3-2-6,3-2-6-4,8-13-15-12,8-13-15-12,10-7-4,17:20,,05:15
8,R7,-0s,18:44,18:30,18:55,2-8-5-6,10-1-6-7,4-3-8-15,17:52,20:00,10-3-2-5,18:37,14-2-4-9,7-8-1-5,4-5-1-8,5-7-8-1,20:27,1-5-6-4,4-3-2,10-8-7-1,11-8-3-5,11-8-3-5,7-3-6,17:55,,05:45
9,R8,,19:04,18:48,19:23,8-7-6-3,,,18:15,20:30,11-3-1-2,19:00,4-11-2-5,4-5-8-1,5-4-8-9,,20:46,6-8-3-1,5-6-4,6-5-1-10,1-10-4-16,1-10-4-16,10-3-1,18:30,,06:15
10,R9,,19:28,19:07,,6-3-8-4,,,18:34,,11-5-12-2,19:19,,1-4-3-2,8-7-4-6,,,4-1-7-8,3-6-5,,1-8-9-3,1-8-9-3,9-8-1,19:10,,06:45
11,R10,,19:44,19:32,,5-6-10-3,,,18:52,,,19:40,,7-8-1-5,8-2-3-1,,,8-5-6-2,,,,,6-9-1,19:50,,
12,R11,,20:05,,,,,,19:15,,,19:55,,1-5-6-7,,,,8-4-1-7,,,,,,,,
13,R12,,20:20,,,,,,,,,20:17,,9-5-8-4,,,,5-7-8-2,,,,,,,,
